City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Khor,RU,47.8861,134.9464,15.51,95,56,7.0,broken clouds
1,Port Alfred,ZA,-33.5906,26.891,73.72,85,0,13.31,clear sky
2,Puerto Escondido,MX,15.85,-97.0667,87.93,48,66,11.7,broken clouds
3,Malmesbury,ZA,-33.4608,18.7271,71.78,52,10,6.69,clear sky
4,Rikitea,PF,-23.1203,-134.9692,79.41,71,30,15.28,light rain
5,Grimshaw,CA,56.1834,-117.6027,33.42,75,40,5.75,scattered clouds
6,Bloomfield,US,40.8068,-74.1854,57.97,20,0,18.41,clear sky
7,Udachnyy,RU,66.4167,112.4,-7.53,100,89,1.79,overcast clouds
8,Pevek,RU,69.7008,170.3133,23.77,78,100,21.74,overcast clouds
9,Businga,CD,3.3333,20.8833,77.34,75,98,5.08,overcast clouds
10,Lebu,CL,-37.6167,-73.65,60.51,64,4,14.9,clear sky
11,Bredasdorp,ZA,-34.5322,20.0403,68.95,85,80,11.81,broken clouds
12,Katsuura,JP,35.1333,140.3,42.31,72,38,21.74,scattered clouds
13,Hobart,AU,-42.8794,147.3294,55.26,77,100,9.22,overcast clouds
14,Holbaek,DK,55.7167,11.7167,47.12,68,27,1.99,scattered clouds
15,Odweyne,SO,9.4092,45.064,82.76,41,52,7.72,broken clouds
16,Okhotsk,RU,59.3833,143.3,18.88,96,100,5.35,light snow
17,Khatanga,RU,71.9667,102.5,-13.0,98,97,3.38,overcast clouds
18,Nikolskoye,RU,59.7035,30.7861,39.09,88,0,5.48,clear sky
19,Butaritari,KI,3.0707,172.7902,80.65,80,37,15.61,light rain
20,Lorengau,PG,-2.0226,147.2712,81.34,77,91,7.52,overcast clouds
21,Clyde River,CA,70.4692,-68.5914,-10.97,70,20,0.0,few clouds
22,Ushuaia,AR,-54.8,-68.3,51.42,71,75,23.02,broken clouds
23,Ponta Delgada,PT,37.7333,-25.6667,63.32,63,40,14.97,scattered clouds
24,Lata,PT,40.1629,-8.3327,56.8,83,89,5.66,light rain
25,Hilo,US,19.7297,-155.09,73.62,81,40,6.91,scattered clouds
