City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Torbay,CA,2022-03-16 21:44:34,47.6666,-52.7314,26.28,63,75,10.36
1,New Norfolk,AU,2022-03-16 21:44:35,-42.7826,147.0587,65.91,76,77,3.31
2,Butaritari,KI,2022-03-16 21:44:36,3.0707,172.7902,81.37,79,28,20.0
3,Bathsheba,BB,2022-03-16 21:44:37,13.2167,-59.5167,81.21,61,20,20.71
4,Kalga,RU,2022-03-16 21:44:37,50.9251,118.898,-8.09,93,5,3.96
5,La Ronge,CA,2022-03-16 21:44:38,55.1001,-105.2842,26.85,80,100,2.3
6,Petropavlovsk-Kamchatskiy,RU,2022-03-16 21:43:37,53.0452,158.6483,16.39,73,75,8.95
7,Albany,US,2022-03-16 21:43:26,42.6001,-73.9662,58.3,51,16,1.01
8,Tuktoyaktuk,CA,2022-03-16 21:44:39,69.4541,-133.0374,-11.2,64,40,14.97
9,Cherskiy,RU,2022-03-16 21:44:40,68.75,161.3,-13.4,98,99,7.11
10,Upernavik,GL,2022-03-16 21:44:41,72.7868,-56.1549,-15.39,83,100,3.76
11,Los Llanos De Aridane,ES,2022-03-16 21:44:41,28.6585,-17.9182,60.55,76,75,23.02
12,Punta Arenas,CL,2022-03-16 21:41:21,-53.15,-70.9167,46.51,71,75,16.11
13,Busselton,AU,2022-03-16 21:44:42,-33.65,115.3333,65.19,85,73,3.69
14,Kargasok,RU,2022-03-16 21:44:43,59.0556,80.8572,18.21,94,100,10.25
15,Hilo,US,2022-03-16 21:44:25,19.7297,-155.09,78.53,84,100,11.5
16,Hermanus,ZA,2022-03-16 21:44:44,-34.4187,19.2345,60.8,80,1,12.26
17,Faya,SA,2022-03-16 21:44:45,18.3851,42.4509,57.31,74,9,7.38
18,Bondo,CD,2022-03-16 21:44:45,3.8146,23.6866,73.0,38,100,0.92
19,Coquimbo,CL,2022-03-16 21:41:11,-29.9533,-71.3436,65.93,72,0,11.5
20,Saldanha,ZA,2022-03-16 21:44:46,-33.0117,17.9442,66.25,79,0,12.66
21,Kodiak,US,2022-03-16 21:44:47,57.79,-152.4072,42.31,70,100,6.91
22,Shimanovsk,RU,2022-03-16 21:44:48,52.0,127.7,1.58,95,82,5.64
23,Aklavik,CA,2022-03-16 21:44:48,68.2191,-135.0107,-4.0,50,20,3.44
24,Nanguneri,IN,2022-03-16 21:44:49,8.4933,77.6581,77.41,77,93,4.83
25,Bluff,NZ,2022-03-16 21:44:50,-46.6,168.3333,51.8,76,86,12.66
26,Lujan,AR,2022-03-16 21:44:51,-34.5703,-59.105,81.05,56,0,1.99
27,Port Alfred,ZA,2022-03-16 21:44:51,-33.5906,26.891,65.89,72,4,5.61
28,Kut Chap,TH,2022-03-16 21:44:52,17.4257,102.5669,76.57,74,11,3.4
29,Khatanga,RU,2022-03-16 21:44:53,71.9667,102.5,-16.65,94,83,9.75
30,Dori,BF,2022-03-16 21:44:54,14.0354,-0.0345,87.93,13,7,9.46
31,Chokurdakh,RU,2022-03-16 21:44:54,70.6333,147.9167,-19.35,97,38,9.19
32,Umuahia,NG,2022-03-16 21:44:55,5.5263,7.4896,81.61,70,39,7.16
33,Bayanday,RU,2022-03-16 21:44:56,53.0661,105.5139,-14.3,99,39,3.27
34,Acajutla,SV,2022-03-16 21:44:57,13.5928,-89.8275,85.03,63,37,8.19
35,Wilkie,CA,2022-03-16 21:44:57,52.4168,-108.7014,37.78,79,37,13.87
36,Mirzapur,IN,2022-03-16 21:44:58,25.15,82.5833,73.54,32,5,3.74
37,Vila Velha,BR,2022-03-16 21:44:59,-20.3297,-40.2925,80.94,83,40,8.05
38,Kaoma,ZM,2022-03-16 21:45:00,-14.7833,24.8,65.84,97,99,3.76
39,Ponta Do Sol,PT,2022-03-16 21:45:00,32.6667,-17.1,62.06,59,30,7.4
40,Arraial Do Cabo,BR,2022-03-16 21:45:01,-22.9661,-42.0278,78.76,73,0,23.02
41,Saint-Philippe,RE,2022-03-16 21:45:02,-21.3585,55.7679,78.39,90,29,7.07
42,Mataura,NZ,2022-03-16 21:45:03,-46.1927,168.8643,51.48,72,72,5.53
43,Bima,ID,2022-03-16 21:45:03,-8.4667,118.7167,76.44,94,23,3.38
44,Cidreira,BR,2022-03-16 21:45:04,-30.1811,-50.2056,69.98,82,100,11.63
45,Half Moon Bay,US,2022-03-16 21:41:25,37.4636,-122.4286,74.62,63,0,18.41
46,Kapaa,US,2022-03-16 21:46:05,22.0752,-159.319,80.92,74,40,9.22
47,Bredasdorp,ZA,2022-03-16 21:46:06,-34.5322,20.0403,63.72,77,3,5.75
48,Bilibino,RU,2022-03-16 21:46:07,68.0546,166.4372,-14.12,99,100,1.92
49,Maniitsoq,GL,2022-03-16 21:46:07,65.4167,-52.9,-3.39,86,100,7.67
50,Qaanaaq,GL,2022-03-16 21:46:08,77.484,-69.3632,-12.64,78,100,7.49
51,Phek,IN,2022-03-16 21:46:09,25.6667,94.5,46.51,48,0,1.48
52,Shakawe,BW,2022-03-16 21:46:10,-18.3667,21.85,73.11,58,100,4.23
53,Goure,NE,2022-03-16 21:46:10,13.9835,10.2704,70.84,13,87,9.95
54,Esperance,AU,2022-03-16 21:46:11,-33.8667,121.9,66.04,91,0,5.57
55,Saint-Francois,FR,2022-03-16 21:46:12,46.4154,3.9054,49.41,91,0,5.75
56,Atuona,PF,2022-03-16 21:46:13,-9.8,-139.0333,78.49,74,19,16.17
57,Poum,NC,2022-03-16 21:46:13,-20.2333,164.0167,77.07,93,100,12.95
58,Puerto Ayora,EC,2022-03-16 21:46:14,-0.7393,-90.3518,85.96,80,93,4.0
59,Brigantine,US,2022-03-16 21:46:15,39.4101,-74.3646,62.04,54,0,12.66
60,Kangaatsiaq,GL,2022-03-16 21:46:16,68.3065,-53.4641,-11.0,96,89,6.58
61,Grindavik,IS,2022-03-16 21:46:16,63.8424,-22.4338,27.07,93,40,9.22
62,Avarua,CK,2022-03-16 21:46:17,-21.2078,-159.775,84.25,74,75,3.44
63,Nikolskoye,RU,2022-03-16 21:46:18,59.7035,30.7861,33.69,95,81,4.07
64,Korla,CN,2022-03-16 21:46:19,41.7597,86.1469,47.48,60,87,3.33
65,Vangaindrano,MG,2022-03-16 21:46:20,-23.35,47.6,75.15,91,43,3.44
66,Tasiilaq,GL,2022-03-16 21:46:20,65.6145,-37.6368,15.96,85,98,9.44
67,Puerto Rico,AR,2022-03-16 21:46:21,-26.796,-55.024,82.62,46,48,1.79
68,Clyde River,CA,2022-03-16 21:46:22,70.4692,-68.5914,-19.97,76,100,2.3
69,Lata,PT,2022-03-16 21:46:23,40.1629,-8.3327,56.07,94,77,3.69
70,Ekhabi,RU,2022-03-16 21:46:23,53.5102,142.9671,23.63,91,100,9.35
71,Longyearbyen,SJ,2022-03-16 21:46:24,78.2186,15.6401,35.44,64,20,8.05
72,Cape Town,ZA,2022-03-16 21:46:25,-33.9258,18.4232,66.61,71,0,9.22
73,Vestmannaeyjar,IS,2022-03-16 21:46:26,63.4427,-20.2734,31.19,86,75,31.07
74,Jamestown,US,2022-03-16 21:45:30,42.097,-79.2353,63.52,40,40,4.61
75,Jumla,NP,2022-03-16 21:46:26,29.2747,82.1838,46.85,28,3,5.06
76,Bandarbeyla,SO,2022-03-16 21:46:27,9.4942,50.8122,76.33,75,5,7.36
77,Lorengau,PG,2022-03-16 21:46:28,-2.0226,147.2712,83.97,77,78,12.59
78,Imuris,MX,2022-03-16 21:46:29,30.7833,-110.8667,80.58,8,0,22.84
79,Yerofey Pavlovich,RU,2022-03-16 21:46:29,53.9667,121.9667,-16.44,94,19,4.38
80,Ahipara,NZ,2022-03-16 21:46:30,-35.1667,173.1667,63.48,83,100,6.93
81,Barrow,US,2022-03-16 21:46:31,71.2906,-156.7887,-9.38,70,0,8.05
82,Iqaluit,CA,2022-03-16 21:46:32,63.7506,-68.5145,-0.67,60,100,10.36
83,Ushuaia,AR,2022-03-16 21:41:58,-54.8,-68.3,40.62,81,75,13.8
84,Provideniya,RU,2022-03-16 21:46:33,64.3833,-173.3,14.36,52,0,4.47
85,Kaitangata,NZ,2022-03-16 21:46:33,-46.2817,169.8464,53.55,80,100,10.8
86,Kundla,IN,2022-03-16 21:46:34,21.3333,71.3,79.52,34,11,10.11
87,Ilulissat,GL,2022-03-16 21:46:35,69.2167,-51.1,-3.98,50,20,6.91
88,Carnarvon,AU,2022-03-16 21:46:36,-24.8667,113.6333,73.47,68,90,14.97
89,East London,ZA,2022-03-16 21:46:36,-33.0153,27.9116,65.16,76,94,5.21
90,Qasigiannguit,GL,2022-03-16 21:46:37,68.8193,-51.1922,-3.75,99,93,5.12
91,Beringovskiy,RU,2022-03-16 21:47:38,63.05,179.3167,-2.36,82,9,9.33
92,Constitucion,CL,2022-03-16 21:47:39,-35.3333,-72.4167,62.85,81,90,6.96
93,Mokhsogollokh,RU,2022-03-16 21:47:39,61.4681,128.9203,-4.02,98,100,2.84
94,Bosaso,SO,2022-03-16 21:47:40,11.2842,49.1816,76.05,74,1,0.83
95,Hasaki,JP,2022-03-16 21:47:41,35.7333,140.8333,41.4,56,58,7.27
96,Leningradskiy,RU,2022-03-16 21:47:42,69.3833,178.4167,-7.53,91,69,9.95
97,Souillac,MU,2022-03-16 21:47:42,-20.5167,57.5167,80.98,89,75,1.14
98,Kintampo,GH,2022-03-16 21:47:43,8.0563,-1.7306,84.4,50,100,6.55
99,Port Macquarie,AU,2022-03-16 21:47:44,-31.4333,152.9167,66.88,87,42,4.72
100,Vaini,TO,2022-03-16 21:47:45,-21.2,-175.2,78.96,89,100,6.91
101,Katsuura,JP,2022-03-16 21:47:45,35.1333,140.3,57.2,74,53,10.67
102,Gimli,CA,2022-03-16 21:47:46,50.6336,-96.9907,37.42,75,100,6.91
103,Henties Bay,NA,2022-03-16 21:47:47,-22.116,14.2845,62.65,83,0,6.76
104,Aneho,TG,2022-03-16 21:47:48,6.2333,1.6,84.4,76,100,11.5
105,Bogorodskoye,RU,2022-03-16 21:47:48,56.55,37.8833,13.59,96,13,3.02
106,Saint-Pierre,RE,2022-03-16 21:47:49,-21.3393,55.4781,78.48,84,100,4.61
107,Yellowknife,CA,2022-03-16 21:43:41,62.456,-114.3525,16.41,59,75,0.0
108,Hobart,AU,2022-03-16 21:46:08,-42.8794,147.3294,66.25,84,40,9.22
109,Coahuayana,MX,2022-03-16 21:47:50,18.7333,-103.6833,87.89,36,0,7.61
110,Cap Malheureux,MU,2022-03-16 21:47:51,-19.9842,57.6142,78.48,89,25,5.57
111,Husavik,IS,2022-03-16 21:47:52,66.0449,-17.3389,25.18,77,74,15.28
112,Narsaq,GL,2022-03-16 21:47:52,60.9167,-46.05,8.82,86,80,2.44
113,Murray,US,2022-03-16 21:46:56,40.6669,-111.888,52.74,52,75,14.97
114,Dikson,RU,2022-03-16 21:47:53,73.5069,80.5464,9.43,95,100,19.26
115,Amapa,BR,2022-03-16 21:47:54,1.0,-52.0,73.09,98,83,2.53
116,Grand Gaube,MU,2022-03-16 21:47:55,-20.0064,57.6608,81.0,89,26,5.97
117,Port Elizabeth,ZA,2022-03-16 21:47:56,-33.918,25.5701,60.31,92,0,4.61
118,Rikitea,PF,2022-03-16 21:47:56,-23.1203,-134.9692,79.72,81,82,24.32
119,Pevek,RU,2022-03-16 21:47:57,69.7008,170.3133,-14.06,98,84,4.07
120,Georgetown,MY,2022-03-16 21:47:58,5.4112,100.3354,79.95,99,20,3.44
121,Ejea De Los Caballeros,ES,2022-03-16 21:47:58,42.1263,-1.1372,55.62,81,100,16.84
122,Elizabeth City,US,2022-03-16 21:46:06,36.2946,-76.2511,68.02,56,100,9.22
123,Wuwei,CN,2022-03-16 21:47:59,37.9281,102.6414,39.36,69,83,1.92
124,Lebu,CL,2022-03-16 21:48:00,-37.6167,-73.65,60.1,82,100,6.33
125,Porto Novo,BJ,2022-03-16 21:43:01,6.4965,2.6036,84.02,75,94,9.28
126,Araouane,ML,2022-03-16 21:48:01,18.9048,-3.5265,74.12,17,0,9.33
127,Klaksvik,FO,2022-03-16 21:48:02,62.2266,-6.589,40.12,76,59,18.75
128,Yazman,PK,2022-03-16 21:48:02,29.1212,71.7446,87.31,14,11,7.65
129,Ust-Omchug,RU,2022-03-16 21:48:03,61.15,149.6333,-12.78,96,43,1.41
130,Minab,IR,2022-03-16 21:48:04,27.1467,57.0801,78.35,34,0,4.76
131,Maragogi,BR,2022-03-16 21:48:05,-9.0122,-35.2225,78.85,85,100,8.19
132,Hithadhoo,MV,2022-03-16 21:48:06,-0.6,73.0833,83.68,71,100,9.84
133,Viedma,AR,2022-03-16 21:44:06,-40.8135,-62.9967,91.49,18,3,16.89
134,Akyab,MM,2022-03-16 21:48:06,20.15,92.9,72.1,88,79,5.75
135,Taboga,IT,2022-03-16 21:48:07,46.2663,13.1092,47.3,81,96,3.38
136,Mar Del Plata,AR,2022-03-16 21:47:48,-38.0023,-57.5575,84.22,57,0,17.0
137,Kiunga,PG,2022-03-16 21:49:08,-6.1219,141.2906,72.91,98,99,1.5
138,Grants Pass,US,2022-03-16 21:46:05,42.439,-123.3284,62.37,45,0,3.44
139,Salina,US,2022-03-16 21:48:01,38.8403,-97.6114,76.3,27,0,16.11
140,Kodinsk,RU,2022-03-16 21:49:09,58.6881,99.1844,4.44,99,100,2.35
141,Kruisfontein,ZA,2022-03-16 21:49:10,-34.0033,24.7314,56.88,86,0,2.86
142,Taclobo,PH,2022-03-16 21:49:11,12.3074,122.586,81.84,79,90,9.91
143,Hamilton,US,2022-03-16 21:49:11,39.1834,-84.5333,70.65,36,0,8.05
144,Magdeburg,DE,2022-03-16 21:49:12,52.1667,11.6667,45.12,79,33,5.01
145,Tezu,IN,2022-03-16 21:49:13,27.9167,96.1667,70.23,36,48,4.16
146,Nanortalik,GL,2022-03-16 21:49:14,60.1432,-45.2371,8.01,81,92,9.64
147,Ponta Delgada,PT,2022-03-16 21:49:14,37.7333,-25.6667,59.5,67,20,9.22
148,Scarborough,GB,2022-03-16 21:45:17,54.2797,-0.4044,42.37,90,100,4.0
149,Umm Lajj,SA,2022-03-16 21:49:15,25.0213,37.2685,62.4,23,0,25.5
150,Hebi,CN,2022-03-16 21:49:16,35.8992,114.1925,37.89,45,100,18.41
151,Pochutla,MX,2022-03-16 21:49:17,15.7432,-96.4661,89.82,46,0,8.3
152,Carauari,BR,2022-03-16 21:49:17,-4.8828,-66.8958,74.98,97,99,3.27
153,Sur,OM,2022-03-16 21:49:18,22.5667,59.5289,81.55,38,53,8.16
154,Roald,NO,2022-03-16 21:49:19,62.5833,6.1333,47.32,71,75,14.97
155,Kahului,US,2022-03-16 21:49:20,20.8947,-156.47,89.62,59,20,13.8
156,Nishihara,JP,2022-03-16 21:49:20,26.1842,127.7558,70.88,83,75,11.5
157,Mainz,DE,2022-03-16 21:49:21,50.0,8.2711,52.02,76,100,9.22
158,Aquiraz,BR,2022-03-16 21:49:22,-3.9014,-38.3911,83.05,81,91,6.26
159,Baykit,RU,2022-03-16 21:49:23,61.67,96.37,-4.54,100,97,1.45
160,Champerico,GT,2022-03-16 21:49:23,14.3,-91.9167,91.94,55,2,11.63
161,Port Hardy,CA,2022-03-16 21:49:24,50.6996,-127.4199,48.38,71,100,0.0
162,Vardo,NO,2022-03-16 21:49:25,70.3705,31.1107,26.58,68,0,23.02
163,Mendota,US,2022-03-16 21:49:26,36.7536,-120.3816,78.01,34,2,17.27
164,Luderitz,NA,2022-03-16 21:48:34,-26.6481,15.1594,63.97,79,83,11.97
165,Victoria,HK,2022-03-16 21:48:39,22.2855,114.1577,74.17,92,100,8.99
166,Port-Cartier,CA,2022-03-16 21:48:16,50.0334,-66.8654,24.75,92,99,6.04
167,Safaga,EG,2022-03-16 21:46:30,26.7292,33.9365,58.12,43,0,16.4
168,Baker City,US,2022-03-16 21:49:31,44.7749,-117.8344,45.59,50,20,12.66
169,Lannion,FR,2022-03-16 21:49:32,48.75,-3.4167,46.38,79,75,12.66
170,Ahuimanu,US,2022-03-16 21:49:33,21.4447,-157.8378,83.91,69,40,12.66
171,Mehamn,NO,2022-03-16 21:49:33,71.0357,27.8492,33.71,74,0,21.85
172,Zyryanka,RU,2022-03-16 21:49:34,65.75,150.85,-17.95,100,100,1.7
173,Severo-Kurilsk,RU,2022-03-16 21:49:35,50.6789,156.125,30.36,80,70,12.86
174,Dabola,GN,2022-03-16 21:49:36,10.75,-11.1167,83.88,21,26,2.86
175,Coihaique,CL,2022-03-16 21:47:02,-45.5752,-72.0662,54.21,76,100,8.05
176,Quelimane,MZ,2022-03-16 21:49:37,-17.8786,36.8883,76.95,100,75,11.99
177,Djambala,CG,2022-03-16 21:49:37,-2.5447,14.7533,68.58,92,96,3.44
178,Broome,US,2022-03-16 21:49:38,42.2506,-75.833,61.18,44,0,9.22
179,Mahebourg,MU,2022-03-16 21:50:39,-20.4081,57.7,80.89,89,75,1.14
180,El Alto,PE,2022-03-16 21:50:39,-4.2714,-81.2147,83.86,69,89,12.3
181,Vao,NC,2022-03-16 21:50:40,-22.6667,167.4833,79.52,82,100,7.29
182,Dicabisagan,PH,2022-03-16 21:50:41,17.0818,122.4157,75.52,91,89,2.26
183,Maues,BR,2022-03-16 21:50:42,-3.3836,-57.7186,76.77,93,67,2.59
184,Ketchikan,US,2022-03-16 21:50:42,55.3422,-131.6461,42.78,87,100,24.16
185,Sabha,LY,2022-03-16 21:50:43,27.0377,14.4283,56.93,22,0,17.69
186,Varhaug,NO,2022-03-16 21:50:44,58.6147,5.6457,45.95,75,100,23.98
187,Collingwood,CA,2022-03-16 21:50:45,44.4834,-80.2164,47.61,79,92,1.14
188,Ancud,CL,2022-03-16 21:50:45,-41.8697,-73.8203,53.22,86,86,13.71
189,Vila Franca Do Campo,PT,2022-03-16 21:50:46,37.7167,-25.4333,59.2,69,100,8.46
190,Manaquiri,BR,2022-03-16 21:50:47,-3.3167,-60.35,77.45,90,79,1.97
191,Senador Jose Porfirio,BR,2022-03-16 21:50:48,-2.5908,-51.9542,74.46,90,98,3.33
192,Freeport,US,2022-03-16 21:50:20,40.6576,-73.5832,60.33,65,0,13.8
193,Alofi,NU,2022-03-16 21:50:49,-19.0595,-169.9187,82.29,89,75,4.61
194,Tiksi,RU,2022-03-16 21:49:31,71.6872,128.8694,-15.65,97,96,9.06
195,Kulhudhuffushi,MV,2022-03-16 21:50:49,6.6221,73.07,82.56,75,69,11.81
196,Asau,RO,2022-03-16 21:50:50,46.4333,26.4,34.95,57,100,4.34
197,Verkh-Suetka,RU,2022-03-16 21:50:51,53.3,80.05,-7.74,100,92,3.58
198,Cabo San Lucas,MX,2022-03-16 21:50:52,22.8909,-109.9124,83.61,49,25,14.38
199,Port Lincoln,AU,2022-03-16 21:50:52,-34.7333,135.8667,66.78,81,31,4.23
200,Fortuna,US,2022-03-16 21:50:53,40.5982,-124.1573,59.86,71,0,13.8
201,San Ramon,US,2022-03-16 21:50:54,37.7799,-121.978,73.2,46,0,12.66
202,Totness,SR,2022-03-16 21:50:55,5.8833,-56.3167,76.8,86,29,12.17
203,Cayenne,GF,2022-03-16 21:50:55,4.9333,-52.3333,81.09,1,75,5.99
204,Castro,BR,2022-03-16 21:50:56,-24.7911,-50.0119,65.55,95,92,5.68
205,Pitimbu,BR,2022-03-16 21:50:57,-7.4706,-34.8086,81.19,79,83,10.0
206,Mao,ES,2022-03-16 21:50:58,39.8885,4.2658,57.76,94,75,16.11
207,Phonhong,LA,2022-03-16 21:50:58,18.5007,102.4166,72.34,92,25,2.64
208,Verkhnevilyuysk,RU,2022-03-16 21:50:59,63.4453,120.3167,-25.04,100,88,1.7
209,Morgan City,US,2022-03-16 21:51:00,29.6994,-91.2068,70.02,60,20,8.05
210,Kankon,IN,2022-03-16 21:51:01,15.0167,74.0167,76.28,88,99,4.9
211,Geraldton,AU,2022-03-16 21:51:01,-28.7667,114.6,57.61,88,0,3.44
212,Kawalu,ID,2022-03-16 21:51:02,-7.3817,108.2082,72.36,95,99,0.25
213,Meulaboh,ID,2022-03-16 21:51:03,4.1363,96.1285,74.43,94,100,5.12
214,Haines Junction,CA,2022-03-16 21:51:04,60.7522,-137.5108,40.95,52,88,6.91
215,Touros,BR,2022-03-16 21:51:04,-5.1989,-35.4608,80.35,78,98,8.19
216,Saint-Felicien,CA,2022-03-16 21:51:05,48.6501,-72.4491,41.68,48,75,9.22
217,Saint-Joseph,RE,2022-03-16 21:51:06,-21.3667,55.6167,77.38,89,34,6.93
218,Guozhen,CN,2022-03-16 21:51:06,34.3659,107.359,51.89,97,97,5.32
219,Lahat,ID,2022-03-16 21:51:07,-3.8,103.5333,72.1,98,99,1.95
220,Baijiantan,CN,2022-03-16 21:51:08,45.6333,85.1833,36.93,71,93,5.93
221,Gat,IL,2022-03-16 21:51:09,31.61,34.7642,48.4,100,21,2.95
222,Dhidhdhoo,MV,2022-03-16 21:51:09,6.8833,73.1,82.6,74,59,11.25
223,San Ignacio,BZ,2022-03-16 21:51:10,17.1561,-89.0714,89.74,51,20,4.61
224,Ribeira Grande,PT,2022-03-16 21:51:11,38.5167,-28.7,59.4,72,40,16.11
225,Muros,ES,2022-03-16 21:51:12,42.7762,-9.0603,55.09,75,20,18.72
226,Payo,ID,2022-03-16 21:51:12,-3.7508,103.6372,72.0,99,97,1.7
227,Pontes E Lacerda,BR,2022-03-16 21:51:13,-15.2261,-59.3353,76.62,86,17,3.0
228,Cenad,RO,2022-03-16 21:52:14,46.1333,20.5833,40.37,90,100,8.48
229,Bojnurd,IR,2022-03-16 21:52:15,37.4747,57.329,35.55,80,100,2.3
230,Katherine,AU,2022-03-16 21:52:16,-14.4667,132.2667,79.12,83,99,0.0
231,Victoria Point,AU,2022-03-16 21:52:16,-27.5833,153.3,75.11,84,16,3.0
232,Koundara,GN,2022-03-16 21:52:17,12.4833,-13.3,84.13,15,11,5.21
233,Mandera,KE,2022-03-16 21:52:18,3.9366,41.867,86.76,24,84,10.71
234,Kununurra,AU,2022-03-16 21:52:19,-15.7667,128.7333,78.78,94,17,2.3
235,Marck,FR,2022-03-16 21:52:19,50.949,1.9433,52.99,91,100,16.49
236,Raxaul,IN,2022-03-16 21:50:38,26.9833,84.85,71.29,34,1,4.59
237,Santa Fe,AR,2022-03-16 21:52:00,-31.6333,-60.7,74.82,60,1,5.53
238,Russell,US,2022-03-16 21:52:20,32.3502,-85.1999,68.97,73,100,0.0
239,Whitehorse,CA,2022-03-16 21:52:21,60.7161,-135.0538,38.01,62,75,15.01
240,Dunedin,NZ,2022-03-16 21:52:22,-45.8742,170.5036,51.8,91,100,1.99
241,Kaeo,NZ,2022-03-16 21:52:23,-35.1,173.7833,69.33,80,100,7.99
242,Curumani,CO,2022-03-16 21:52:23,9.1999,-73.5427,90.36,49,93,0.47
243,Butembo,CD,2022-03-16 21:52:24,0.15,29.2833,65.14,64,93,2.17
244,Rocha,UY,2022-03-16 21:51:18,-34.4833,-54.3333,73.24,77,17,10.58
245,Saquarema,BR,2022-03-16 21:50:49,-22.92,-42.5103,78.94,79,16,15.95
246,Asyut,EG,2022-03-16 21:52:26,27.181,31.1837,51.98,36,0,7.47
247,Kavieng,PG,2022-03-16 21:52:27,-2.5744,150.7967,84.54,67,72,13.31
248,High Prairie,CA,2022-03-16 21:52:28,55.4334,-116.4858,40.06,72,12,11.88
249,Misratah,LY,2022-03-16 21:52:28,32.3754,15.0925,58.91,72,62,19.57
250,Saint George,US,2022-03-16 21:49:37,37.1041,-113.5841,69.26,28,40,18.01
